"","Results.reception.time","MD5.hash.of.participant.s.IP.address","Controller.name","Order.number.of.item","Inner.element.number","Label","Latin.Square.Group","PennElementType","PennElementName","Parameter","Value","EventTime","ParticipantID","group","item","sentence","lexicon","quantifier","noun","condition","imga","imgb","Reading.time","Newline.","Sentence..or.sentence.MD5.","Comments"
"1",1694806005,"161af307fae0d8f1cf12f2bc6d91988e","PennController",1,0,"tcle","NULL","PennController","0","_Trial_","Start",1694805445357,"NULL","",NA,"","","","","","","","","","",""
"2",1694806005,"161af307fae0d8f1cf12f2bc6d91988e","PennController",1,0,"tcle","NULL","PennController","0","_Trial_","End",1694805529042,"NULL","",NA,"","","","","","","","","","",""
"3",1694806005,"161af307fae0d8f1cf12f2bc6d91988e","PennController",2,0,"boasvindas","NULL","PennController","1","_Trial_","Start",1694805529045,"F79","NULL",NA,"","","","","","","","","","",""
"4",1694806005,"161af307fae0d8f1cf12f2bc6d91988e","PennController",2,0,"boasvindas","NULL","PennController","1","_Trial_","End",1694805536152,"F79","NULL",NA,"","","","","","","","","","",""
"5",1694806005,"161af307fae0d8f1cf12f2bc6d91988e","PennController",3,0,"questionario","NULL","PennController","2","_Trial_","Start",1694805536153,"F79","NULL",NA,"","","","","","","","","","",""
"6",1694806005,"161af307fae0d8f1cf12f2bc6d91988e","PennController",3,0,"questionario","NULL","TextInput","idadeResposta","First","",1694805542432,"F79","3",NA,"","","","","","","","","","",""
"7",1694806005,"161af307fae0d8f1cf12f2bc6d91988e","PennController",3,0,"questionario","NULL","Scale","escolaridadeResposta","Choice","<p style=font-size:20>Pós-Graduação Stricto Sensu (Mestrado/Doutorado)</p>",1694805548423,"F79","NULL",NA,"","","","","","","","","","",""
"8",1694806005,"161af307fae0d8f1cf12f2bc6d91988e","PennController",3,0,"questionario","NULL","Scale","proficiênciaResposta","Choice","<p style=font-size:20>A2</p>",1694805561813,"F79","NULL",NA,"","","","","","","","","","",""
"9",1694806005,"161af307fae0d8f1cf12f2bc6d91988e","PennController",3,0,"questionario","NULL","Scale","naturalidadeResposta","Choice","<p style=font-size:20>Brasileiro</p>",1694805580581,"F79","NULL",NA,"","","","","","","","","","",""
"10",1694806005,"161af307fae0d8f1cf12f2bc6d91988e","PennController",3,0,"questionario","NULL","Scale","línguaResposta","Choice","<p style=font-size:20>Português do Brasil</p>",1694805585725,"F79","NULL",NA,"","","","","","","","","","",""
